,BAP1,EPAS1,MTOR,NF2,PIK3CA,PTEN,PTGS2,RNF139,SETD2,TP53,TSC1,VHL,Y
123,33.61117564,38.10011,34.12378,34.47783,32.78191,36.03239,29.47035,32.3778,32.72872,34.27348,32.49516,32.5051,1
124,32.29040075,37.09323,33.37689,34.41565,31.97512,35.5678,29.57495,31.72856,32.84141,34.83143,33.64374,30.94975,1
125,32.27666349,37.6336,33.77589,34.10548,33.52686,37.85229,30.19065,33.44387,33.68684,34.03698,33.24758,31.19006,0
126,34.96286492,37.65101,33.77443,34.41833,32.70363,34.98491,31.98291,32.07659,33.75565,33.94682,32.98214,30.84443,0
127,33.42356035,38.35865,33.16767,32.75566,32.61149,36.59868,30.15897,32.24889,33.20784,36.00277,31.79625,31.69395,0
128,33.35598867,37.64952,33.45802,34.3514,33.0539,36.787,32.6678,32.03672,33.72033,34.06603,32.64737,32.13149,1
129,34.27007127,38.79035,33.06156,34.24519,32.93885,35.26078,28.95648,31.293,33.34748,35.22453,33.03847,33.00361,0
130,33.56043816,38.86848,34.13382,34.39628,32.10043,35.52357,31.48607,32.61463,33.09985,33.65036,32.48402,32.3342,0
131,33.61220415,38.62162,33.58751,34.18696,33.11662,36.0275,30.97708,31.44245,32.81314,34.82605,32.99333,31.96082,1
132,33.02325325,37.05952,32.93561,32.32269,33.32867,36.74495,30.21008,32.6896,33.18185,33.88669,33.47414,32.07053,0
133,33.12673855,39.26052,33.64637,33.7866,32.92268,36.79048,27.86086,32.68966,33.44969,33.74211,33.48919,30.87483,1
134,34.03352911,38.91987,32.94606,34.26415,33.85622,36.45352,28.45525,31.57645,33.19499,35.48092,33.54532,29.4119,1
135,31.77915233,38.65278,34.06351,32.34344,34.03503,38.90838,32.9347,34.23333,34.02696,35.88396,32.03623,30.21203,1
136,33.14150817,37.87763,33.62405,34.05954,33.12564,36.77402,33.37263,32.45119,33.56349,33.74497,33.19547,32.26589,1
137,32.8925538,38.7551,33.50037,34.19458,33.21226,37.065,31.75834,32.97148,32.94755,34.38284,33.05363,32.21194,1
138,32.77407632,37.57177,33.65675,34.31653,33.39167,36.9981,32.03216,33.77523,33.31859,35.11894,32.59069,31.8472,1
139,32.92969412,38.3032,33.79225,33.56061,33.43097,36.63263,29.60499,33.23338,33.59804,33.82559,33.79558,32.10331,1
140,34.2412321,38.05036,33.15428,33.81562,33.07321,36.82525,32.06554,32.72296,33.92306,33.78216,32.55074,32.94352,1
141,33.77063252,37.91295,33.38621,34.09613,32.72741,36.90906,31.39421,33.07783,33.15418,33.57369,33.81338,32.23903,0
142,32.03187541,36.30102,33.16136,31.87125,33.64364,37.95243,30.37841,33.04827,33.48286,35.65805,32.7817,30.72246,1
143,32.15310428,37.12478,33.88527,34.69677,33.89106,37.51162,30.95017,33.26381,33.08047,35.21328,33.43814,32.94954,0
144,32.69979761,37.29073,32.63143,32.09383,33.35754,36.84141,30.09135,32.72778,33.08811,33.3599,33.5372,31.36942,1
145,32.40708232,37.25287,33.4987,33.91201,33.91546,37.48099,32.39775,33.18109,34.38121,33.64502,33.79259,33.42649,1
146,32.67614938,39.0574,33.26544,34.05801,33.88523,37.81229,30.84218,32.80846,33.27025,34.28293,32.90719,31.81819,1
147,32.94072226,37.12998,33.89463,34.0173,32.97068,36.64473,28.9013,32.80751,33.37112,34.17004,33.03152,32.78187,1
148,33.1534069,37.15047,34.13204,33.94758,33.26579,36.1582,31.1985,32.58552,33.01669,35.38378,33.43866,31.67908,1
