,ACPP,FOLH1,FRAT1,FRAT2,ICOS,ICOSLG,ITK,MTCP1,NFATC1,NFATC2,NFATC2IP,NFATC3,NFATC4,PATE1,PATE2,PATE3,PATE4,PDCD1,PDCD1LG2,PMEPA1,PRAC1,PRAC2,PSCA,PTCRA,STEAP1,TAL1,TAL2,TCF7,TCF7L1,TCIRG1,TCL1A,TCL1B,TLX1,TLX2,TLX3,WT1,WTAP,WTIP,Y
10,30.63589259,33.9707,25.39931,25.42379,28.77652,31.33852,32.56891,31.5657,31.17188,31.88932,31.98002,33.29822,32.73248,21.50007,21.18392,21.16984,25.93964,28.45895,29.83801,33.29136,21.11579,21.05495,26.07417,28.07082,31.31834,30.46289,26.89055,31.67649,31.68731,34.32344,21.65301,21.31325,21.06706,23.41251,21.21067,27.05767,33.18932,31.71115,0
11,30.72794864,35.31479,22.86623,24.9508,31.10486,30.47374,33.27589,32.79496,32.06738,32.35093,30.70703,33.87228,31.92259,21.50007,21.18392,21.16984,21.28552,31.31875,29.90628,32.91526,21.11579,21.05495,21.94579,21.95682,31.24526,29.60402,26.31369,31.93723,31.40057,33.60386,21.65301,21.31325,21.06706,21.09375,21.21067,24.14702,33.02449,32.25518,0
12,31.48061787,32.13829,22.86623,22.82728,23.66478,29.88496,31.6679,32.55438,31.69887,32.10583,31.65205,34.17389,30.2894,21.50007,21.18392,21.16984,21.28552,25.3769,28.62689,32.37995,21.11579,21.05495,21.94579,21.95682,32.10959,28.47528,28.32869,30.57299,31.41792,33.58852,21.65301,21.31325,21.06706,21.09375,21.21067,22.9094,32.24137,32.43417,0
13,30.65175985,30.39544,26.99899,25.32356,23.66478,31.85385,31.41878,31.95949,31.30836,31.66181,31.57418,32.41594,33.0461,21.50007,21.18392,21.16984,21.28552,29.5264,30.46369,32.86183,21.11579,21.05495,21.94579,21.95682,29.90719,30.62174,29.41964,32.01441,31.29883,35.36584,21.65301,21.31325,21.06706,21.09375,21.21067,30.96408,32.47178,32.31298,0
14,30.28084855,30.8606,26.543,27.40425,28.84814,31.90027,33.54087,31.96475,32.30174,32.58641,33.11704,33.35998,32.86215,21.50007,21.18392,21.16984,26.27633,31.83749,28.84393,32.66186,21.11579,21.05495,28.18293,28.66382,29.55969,26.84238,26.58703,32.42864,32.0295,36.4416,27.88228,21.31325,21.06706,21.09375,21.21067,31.67329,32.67036,33.55044,0
15,24.64326427,34.37835,27.83101,27.21439,27.83334,32.21907,32.5289,33.83799,34.16501,34.98087,33.1935,32.04864,33.89059,21.50007,21.18392,21.16984,21.28552,30.95524,29.12575,34.89447,21.11579,21.05495,26.68357,21.95682,31.05632,32.68872,21.52616,32.55033,30.51065,35.15849,21.65301,21.31325,21.06706,21.09375,21.21067,31.9997,33.61386,31.27632,0
16,31.34721574,33.41256,27.66634,27.6986,30.0916,31.9645,33.22013,32.74111,31.03425,32.16427,32.26743,32.50072,31.242,21.50007,21.18392,21.16984,21.28552,30.29925,28.94393,32.76056,21.11579,21.05495,21.94579,30.99031,30.17788,28.88863,29.30855,33.01621,30.82657,34.06749,21.65301,21.31325,22.31896,27.36239,21.21067,32.89107,33.82682,32.81597,0
17,33.93109756,32.63204,27.45474,25.74059,30.62958,32.21906,32.80883,30.54819,31.23853,31.97365,33.30795,33.20767,33.61522,21.50007,21.18392,21.16984,21.28552,31.13948,28.60714,32.86363,21.11579,21.05495,21.94579,21.95682,25.33625,27.17454,21.52616,32.32507,31.1557,35.19649,21.65301,21.31325,21.06706,21.09375,21.21067,30.80879,33.10678,32.26119,0
18,30.94878072,33.59336,27.45697,26.67744,29.74701,30.6964,32.61899,33.14284,30.88328,32.12866,31.89105,34.05207,31.37501,25.0161,21.18392,21.16984,21.28552,28.99335,30.37552,32.6406,21.11579,21.05495,24.89334,30.93803,31.25563,28.98417,24.61505,30.84168,30.35376,34.08888,21.65301,21.31325,21.06706,21.09375,21.21067,27.10911,32.5403,31.54398,1
19,31.40055222,33.01104,27.16834,27.09731,30.43691,30.30543,32.99903,30.93809,32.80694,32.36918,31.87336,34.20016,31.61609,21.50007,21.18392,21.16984,21.28552,29.5614,32.11581,33.15821,21.11579,21.05495,24.10558,27.65694,31.36078,27.88436,25.04162,30.96241,30.64203,36.11298,21.65301,21.31325,21.06706,21.09375,21.21067,24.10619,33.44461,31.88295,0
20,24.64326427,25.41584,22.86623,24.46289,30.89518,29.47148,32.74339,28.8373,31.56021,31.58054,32.0359,32.85045,31.72371,21.50007,21.18392,21.16984,21.28552,31.6365,31.16538,32.05869,21.11579,21.05495,21.94579,21.95682,29.48592,28.514,21.52616,31.34268,33.64358,34.90519,21.65301,21.31325,21.06706,26.26032,21.21067,31.12489,32.62503,34.25531,1
21,31.51792736,33.19416,22.86623,22.82728,28.03059,29.27393,33.54635,33.40878,30.95707,31.639,32.69885,33.01542,28.60666,21.50007,21.18392,21.16984,21.28552,29.89205,31.12034,32.13936,21.11579,21.05495,21.94579,21.95682,25.33625,28.92913,21.52616,31.30401,28.23386,32.58254,21.65301,21.31325,21.06706,21.09375,21.21067,22.9094,33.70996,32.27078,1
22,29.50763608,31.35316,26.19098,26.69409,23.66478,30.44135,31.98464,33.12962,30.52401,31.53549,32.66573,32.94805,31.18885,21.50007,21.18392,21.16984,21.28552,31.21269,28.41738,33.47098,21.11579,21.05495,21.94579,26.88248,31.36511,27.05493,29.47743,30.82369,30.62929,33.41711,21.65301,21.31325,21.06706,21.09375,21.21067,31.73668,32.51649,32.20037,1
23,30.53604419,34.05855,22.86623,26.27427,23.66478,31.79186,30.93913,34.22763,32.08846,32.35555,31.91683,32.56417,31.7494,30.3546,21.18392,21.16984,21.28552,29.30933,29.1104,34.30038,21.11579,21.05495,21.94579,29.41185,32.49949,28.65168,21.52616,31.32565,31.37266,34.34124,21.65301,21.31325,21.06706,21.09375,21.21067,27.29999,33.02242,30.14703,0
24,24.64326427,32.52992,26.58331,26.34986,31.17207,26.95873,34.80165,28.78941,30.07425,32.5574,31.25778,33.86608,31.01418,21.50007,21.18392,21.16984,21.28552,30.72256,30.8544,31.34605,21.11579,21.05495,21.94579,21.95682,25.33625,24.23337,21.52616,31.47283,30.08212,33.88977,21.65301,21.31325,21.06706,21.09375,21.21067,22.9094,33.3145,28.84455,1
25,24.64326427,32.67899,22.86623,28.52478,23.66478,28.64119,32.93345,33.11504,30.37941,32.30296,31.87732,32.70234,32.22404,21.50007,21.18392,21.16984,21.28552,29.37982,30.28972,33.85251,21.11579,21.05495,29.62074,21.95682,29.27873,26.86045,26.76182,32.6274,31.50495,34.81756,29.88253,21.31325,21.06706,21.09375,21.21067,32.78499,32.04174,29.36846,0
26,28.06436326,33.46305,28.51305,26.12021,28.84219,28.88157,31.89486,33.57304,30.62321,31.07458,31.32997,33.80324,28.79593,21.50007,21.18392,21.16984,21.28552,26.42969,29.77407,28.56182,21.11579,21.05495,34.30242,21.95682,30.74906,28.43767,21.52616,31.34311,28.79143,32.93636,21.65301,21.31325,27.3604,26.95741,21.21067,26.45437,32.98363,30.91274,1
